,istab,U,zi,stab,imet,Q_mg,zplume,dur,sig_x0,sig_y0,sig_z0,title,isrc,y,z,t,iloc,icurve,x,sig_x,sig_y,sig_z,zfunc,yfunc,qyz,cpeak,conc,dose,dinf
49,3,3,100000,D,0,1000000.0,0,0,1,1,0.1,sample,0,0,0,5000,0,1,495.1,49.3168563195103,90.39888194367082,53.32123649113314,0.014963729522574555,0.004413132904121766,66.03692712445205,0.5341971136004826,0.0,22.012309041484016,22.012309041484016
50,3,3,100000,D,0,1000000.0,0,0,1,1,0.1,sample,0,0,0,5000,0,1,505.0,50.21892867502775,91.81150782204088,54.33692327087162,0.01468402170454629,0.004345231767402255,63.80547758381875,0.5068746666045257,0.0,21.268492527939582,21.268492527939582
51,3,3,100000,D,0,1000000.0,0,0,1,1,0.1,sample,0,0,0,5000,0,1,514.9000000000001,51.11977174957586,93.21821020794836,55.35180733026169,0.014414787866130594,0.00427966037442131,61.69039643636821,0.48143617607990097,0.0,20.563465478789404,20.563465478789404
52,3,3,100000,D,0,1000000.0,0,0,1,1,0.1,sample,0,0,0,5000,0,1,524.8000000000001,52.01941046645753,94.61912686068541,56.3659046223266,0.014155446737232971,0.004216296362455598,59.68355858712933,0.45771943110687363,0.0,19.89451952904311,19.89451952904311
53,3,3,100000,D,0,1000000.0,0,0,1,1,0.1,sample,0,0,0,5000,0,1,534.7,52.917868789783626,96.01438980801109,57.37923048998273,0.013905459412199483,0.004155025941415153,57.77754458498436,0.4355788681568965,0.0,19.25918152832812,19.25918152832812
54,3,3,100000,D,0,1000000.0,0,0,1,1,0.1,sample,0,0,0,5000,0,1,544.6,53.81516977822068,97.40412568591408,58.391799700169244,0.01366432555226667,0.004095743148373899,55.9655677578466,0.41488359726985574,0.0,18.655189252615532,18.655189252615532
55,3,3,100000,D,0,1000000.0,0,0,1,1,0.1,sample,0,0,0,5000,0,1,554.5,54.71133563481694,98.78845605244628,59.40362647548622,0.013431579989801982,0.00403834917907449,54.241410025490175,0.3955156926197857,0.0,18.080470008496725,18.080470008496725
56,3,3,100000,D,0,1000000.0,0,0,1,1,0.1,sample,0,0,0,5000,0,1,564.4,55.6063877532577,100.16749767803213,60.41472452356429,0.0132067896855568,0.003982751787248902,52.59936522397171,0.37736870812813655,0.0,17.533121741323903,17.533121741323903
57,3,3,100000,D,0,1000000.0,0,0,1,1,0.1,sample,0,0,0,5000,0,1,574.3000000000001,56.50034676086291,101.54136281439796,61.42510706436475,0.01298955099681082,0.003928864743825017,51.03418894948714,0.36034638520216844,0.0,17.011396316495713,17.011396316495713
58,3,3,100000,D,0,1000000.0,0,0,1,1,0.1,sample,0,0,0,5000,0,1,584.2,57.39323255860742,102.91015944403378,62.434786855589856,0.012779487219937347,0.0038766073491353567,49.54105407499049,0.34436152495828243,0.0,16.513684691663496,16.513684691663496
59,3,3,100000,D,0,1000000.0,0,0,1,1,0.1,sample,0,0,0,5000,0,1,594.1,58.28506435841771,104.27399151190568,63.44377621636301,0.012576246375731443,0.0038259039921367424,48.11551121500617,0.32933500165249496,0.0,16.03850373833539,16.03850373833539
60,3,3,100000,D,0,1000000.0,0,0,1,1,0.1,sample,0,0,0,5000,0,1,604.0,59.175860717970885,105.6329591409512,64.452087049323,0.012379499209951648,0.003776683751414221,46.75345351686958,0.3151948976552529,0.0,15.584484505623191,15.584484505623191
61,3,3,100000,D,0,1000000.0,0,0,1,1,0.1,sample,0,0,0,5000,0,1,613.9,60.065639573201686,106.98715883274278,65.45973086126419,0.012188937385043714,0.003728880033398352,45.45108524343223,0.3018757433130625,0.0,15.150361747810743,15.150361747810743
62,3,3,100000,D,0,1000000.0,0,0,1,1,0.1,sample,0,0,0,5000,0,1,623.8000000000001,60.95441826870233,108.33668365455858,66.46671878243832,0.012004271842036193,0.0036824302437897826,44.204893685788164,0.2893178475458636,0.0,14.734964561929388,14.734964561929388
